urut      idcoa                    nmcoa                                                  induk                    level     groupcoa                                               
1597      511583.36.602            PERJALANAN DINAS_PPIC & LOGISTIC PLANT 2               511583.36                7         BIAYA                                                  
1598      511583.36.604            PERJALANAN DINAS_ENGINEERING PLANT 2                   511583.36                7         BIAYA                                                  
1599      511583.36.606            PERJALANAN DINAS_MAINTENANCE ELECTRICITY PLANT 2       511583.36                7         BIAYA                                                  
1600      511583.36.608            PERJALANAN DINAS_MAINTENANCE MECHANIC PLANT 2          511583.36                7         BIAYA                                                  
1601      511583.36.610            PERJALANAN DINAS_QC PLANT 2                            511583.36                7         BIAYA                                                  
1602      511583.37                MANAGEMENT FEE OS                                      511583                   6         BIAYA                                                  
1603      511583.37.102            MANAGEMENT FEE OS_EAF                                  511583.37                7         BIAYA                                                  
1604      511583.37.104            MANAGEMENT FEE OS_LF                                   511583.37                7         BIAYA                                                  
1605      511583.37.106            MANAGEMENT FEE OS_VD                                   511583.37                7         BIAYA                                                  
1606      511583.37.108            MANAGEMENT FEE OS_CCM                                  511583.37                7         BIAYA                                                  
1607      511583.37.110            MANAGEMENT FEE OS_GENERAL STEEL MAKING                 511583.37                7         BIAYA                                                  
1608      511583.37.202            MANAGEMENT FEE OS_BILLET INSPECTION                    511583.37                7         BIAYA                                                  
1609      511583.37.302            MANAGEMENT FEE OS_PPIC & LOGISTIC PLANT 1              511583.37                7         BIAYA                                                  
1610      511583.37.304            MANAGEMENT FEE OS_ENGINEERING PLANT 1                  511583.37                7         BIAYA                                                  
1611      511583.37.306            MANAGEMENT FEE OS_MAINTENANCE UTILITY PLANT 1          511583.37                7         BIAYA                                                  
1612      511583.37.308            MANAGEMENT FEE OS_MAINTENANCE ELECTRICITY PLANT 1      511583.37                7         BIAYA                                                  
1613      511583.37.310            MANAGEMENT FEE OS_MAINTENANCE MECHANIC PLANT 1         511583.37                7         BIAYA                                                  
1614      511583.37.312            MANAGEMENT FEE OS_QC PLANT 1                           511583.37                7         BIAYA                                                  
1615      511583.37.402            MANAGEMENT FEE OS_FURNACE                              511583.37                7         BIAYA                                                  
1616      511583.37.404            MANAGEMENT FEE OS_ROLLING MILL                         511583.37                7         BIAYA                                                  
1617      511583.37.405            MANAGEMENT FEE OS_COOLING BAD & COLD SHEAR             511583.37                7         BIAYA                                                  
1618      511583.37.406            MANAGEMENT FEE OS_GENERAL ROLLING MILL                 511583.37                7         BIAYA                                                  
1619      511583.37.502            MANAGEMENT FEE OS_FB INSPECTION                        511583.37                7         BIAYA                                                  
1620      511583.37.504            MANAGEMENT FEE OS_RB INSPECTION                        511583.37                7         BIAYA                                                  
1621      511583.37.602            MANAGEMENT FEE OS_PPIC & LOGISTIC PLANT 2              511583.37                7         BIAYA                                                  
1622      511583.37.604            MANAGEMENT FEE OS_ENGINEERING PLANT 2                  511583.37                7         BIAYA                                                  
1623      511583.37.606            MANAGEMENT FEE OS_MAINTENANCE ELECTRICITY PLANT 2      511583.37                7         BIAYA                                                  
1624      511583.37.608            MANAGEMENT FEE OS_MAINTENANCE MECHANIC PLANT 2         511583.37                7         BIAYA                                                  
1625      511583.37.610            MANAGEMENT FEE OS_QC PLANT 2                           511583.37                7         BIAYA                                                  
1626      511583.38                BIAYA LAIN-LAIN                                        511583                   6         BIAYA                                                  
1627      511583.38.110            BIAYA LAIN-LAIN_GENERAL STEEL MAKING                   511583.38                7         BIAYA                                                  
1628      511583.38.406            BIAYA LAIN-LAIN_GENERAL ROLLING MILL                   511583.38                7         BIAYA                                                  
1629      511583.38.506            BIAYA LAIN-LAIN_GENERAL RB INSPECTION                  511583.38                7         BIAYA                                                  
1630      5116                     POTONGAN PEMBELIAN                                     511                      4         BIAYA                                                  
1631      5117                     TAMBAHAN HARGA BESI TUA & PREMI                        511                      4         BIAYA                                                  
1632      5118                     BIAYA IMPORT                                           511                      4         BIAYA                                                  
1633      5119                     UPAH TNG KERJA LSG-UMUM                                511                      4         BIAYA                                                  
1634      512                      HPP - FERRO SILICON                                    51                       3         BIAYA                                                  
1635      5120                     BIAYA IMPOR                                            511                      4         BIAYA                                                  
1636      5120.01                  BIAYA IMPOR JTS 1                                      5120                     5         BIAYA                                                  
1637      5120.02                  BIAYA IMPOR JTS 2                                      5120                     5         BIAYA                                                  
1638      5121                     HPP - FERRO SILICON                                    512                      4         BIAYA                                                  
1639      512101                   UPAH TENAGA KERJA LANGSUNG - FE SI                     5121                     5         BIAYA                                                  
1640      512102                   PEMAKAIAN BAHAN BAKU - FE SI                           5121                     5         BIAYA                                                  
1641      512103                   PEMAKAIAN BAHAN PEMBANTU - FE SI                       5121                     5         BIAYA                                                  
1642      512104                   PEMAKAIAN BAHAN PACKING - FE SI                        5121                     5         BIAYA                                                  
1643      512105                   OVERHEAD PABRIK - FE SI                                5121                     5         BIAYA                                                  
1644      512106                   HP. PRODUKSI - FE SI                                   5121                     5         BIAYA                                                  
1645      512107                   HP. PENJUALAN - FE SI                                  5121                     5         BIAYA                                                  
1646      512108                   HP. LAIN-LAIN - FE SI                                  5121                     5         BIAYA                                                  
1647      512109                   SELISIH HARGA - FE SI                                  5121                     5         BIAYA                                                  
1648      5122                     BIAYA FOH FERRO SILICON                                512                      4         BIAYA                                                  
1649      512201                   BIAYA GAJI - FE SI                                     5122                     5         BIAYA                                                  
1650      512202                   BIAYA LISTRIK - FE SI                                  5122                     5         BIAYA                                                  
1651      512203                   BIAYA GAS - FE SI                                      5122                     5         BIAYA                                                  
1652      512204                   BIAYA PEMELIHARAAN MESIN & PERALATAN - FE SI           5122                     5         BIAYA                                                  
1653      512205                   BIAYA PEMELIHARAAN BANGUNAN PABRIK - FE SI             5122                     5         BIAYA                                                  
1654      512206                   BIAYA PENYUSUTAN - FE SI                               5122                     5         BIAYA                                                  
1655      512207                   BIAYA BAHAN - FE SI                                    5122                     5         BIAYA                                                  
1656      512208                   BIAYA MAINTENANCE - FE SI                              5122                     5         BIAYA                                                  
1657      512209                   BIAYA MAINTENANCE - KENDARAAN FE SI                    5122                     5         BIAYA                                                  
1658      512210                   BIAYA MAINTENANCE - UMUM FE SI                         5122                     5         BIAYA                                                  
1659      512231                   BIAYA BAHAN BAKAR - FE SI                              5122                     5         BIAYA                                                  
1660      512232                   BIAYA BAHAN BAKAR - KENDARAAN FE SI                    5122                     5         BIAYA                                                  
1661      512233                   BIAYA BAHAN BAKAR - UMUM FE SI                         5122                     5         BIAYA                                                  
1662      512234                   BIAYA LAIN-LAIN - FE SI                                5122                     5         BIAYA                                                  
1663      512235                   BIAYA JASA OUTSOURCHING - FE SI                        5122                     5         BIAYA                                                  
1664      512236                   BIAYA AMORTISASI PRA OPERASIONAL - FE SI               5122                     5         BIAYA                                                  
1665      512237                   BIAYA MAKAN - FE SI                                    5122                     5         BIAYA                                                  
1666      512238                   BIAYA ASURANSI KEBAKARAN - FE SI                       5122                     5         BIAYA                                                  
1667      512239                   BIAYA MANAGEMENT FEE OUTSORCHING                       5122                     5         BIAYA                                                  
1668      513                      HPP - LABORATORIUM                                     51                       3         BIAYA                                                  
1669      5131                     HPP - LAB FERRO SILICON                                513                      4         BIAYA                                                  
1670      513101                   BIAYA LAB - FE SI                                      5131                     5         BIAYA                                                  
1671      5132                     HPP - LAB LADLE FURNISH                                513                      4         BIAYA                                                  
1672      513201                   BIAYA LAB - LADLE FURNISH                              5132                     5         BIAYA                                                  
1673      514                      KOREKSI PERSEDIAAN                                     51                       3         BIAYA                                                  
1674      5141                     KOREKSI PERSEDIAAN                                     514                      4         BIAYA                                                  
1675      5141.1                   KOREKSI PERSEDIAAN JTS 2                               514                      4         BIAYA                                                  
1676      5141.2                   KOREKSI PERSEDIAAN JTS 1                               514                      4         BIAYA                                                  
1677      55                       HARGA POKOK PENJUALAN                                  5                        2         BIAYA                                                  
1678      551                      HARGA POKOK PENJUALAN                                  55                       3         BIAYA                                                  
1679      5511                     HARGA POKOK PENJUALAN                                  551                      4         BIAYA                                                  
1680      5511.1                   HARGA POKOK PENJUALAN JTS 2                            551                      4         BIAYA                                                  
1681      56                       BIAYA VARIANS                                          5                        2         BIAYA                                                  
1682      5611                     BIAYA VARIANS BAHAN BAKU                               56                       3         BIAYA                                                  
1683      5611.1                   BIAYA VARIANS BAHAN BAKU JTS 2                         56                       3         BIAYA                                                  
1684      5612                     BIAYA VARIANS DIRECT LABOR                             56                       3         BIAYA                                                  
1685      5612.1                   BIAYA VARIANS DIRECT LABOR JTS 2                       56                       3         BIAYA                                                  
1686      5613                     BIAYA VARIANS FOH                                      56                       3         BIAYA                                                  
1687      5613.1                   BIAYA VARIANS FOH JTS 2                                56                       3         BIAYA                                                  
1688      5614                     BIAYA VARIANS OUTPUT PRODUKSI                          56                       3         BIAYA                                                  
1689      5614.01                  BIAYA VARIANS SCRAP - RETURN BILLET                    5614                     4         BIAYA                                                  
1690      5614.02                  BIAYA VARIANS SCRAP - SISA CAIRAN & GAGAL              5614                     4         BIAYA                                                  
1691      5614.03                  BIAYA VARIANS CASTING CCM                              5614                     4         BIAYA                                                  
1692      5614.04                  BIAYA VARIANS BILLET PANJANG - BI                      5614                     4         BIAYA                                                  
1693      5614.05                  BIAYA VARIANS BILLET PENDEK - BI                       5614                     4         BIAYA                                                  
1694      5614.06                  BIAYA VARIANS TEST PIECE                               5614                     4         BIAYA                                                  
1695      5614.07                  BIAYA VARIANS BAHAN BAKU_JTS 2                         5614                     4         BIAYA                                                  
1696      5614.08                  BIAYA VARIANS SCRAP - RETURN BILLET_JTS 2              5614                     4         BIAYA                                                  
1697      5614.09                  BIAYA VARIANS SCRAP - RETURN FLATBAR_JTS 2             5614                     4         BIAYA                                                  
1698      5614.10                  BIAYA VARIANS LISTRIK STANDARD_JTS 2                   5614                     4         BIAYA                                                  
1699      5614.11                  BIAYA VARIANS GAS STANDARD_JTS 2                       5614                     4         BIAYA                                                  
1700      5614.12                  BIAYA VARIANS REFACTORIES STANDARD_JTS 2               5614                     4         BIAYA                                                  
1701      5614.13                  BIAYA VARIANS GA STANDARD_JTS 2                        5614                     4         BIAYA                                                  
1702      5614.14                  BIAYA VARIANS PRWTAN MESIN PRODUKSI STDARD_JTS 2       5614                     4         BIAYA                                                  
1703      5614.15                  BIAYA VARIANS INSPEKSI STANDARD_JTS 2                  5614                     4         BIAYA                                                  
1704      5614.16                  BIAYA VARIANS DIRECT LABOR STANDARD_JTS 2              5614                     4         BIAYA                                                  
1705      5614.17                  BIAYA VARIANS INDIRECT LABOR STANDARD_JTS 2            5614                     4         BIAYA                                                  
1706      5614.18                  BIAYA VARIANS PENYUSUTAN MESIN STANDARD_JTS 2          5614                     4         BIAYA                                                  
1707      5614.19                  BIAYA VARIANS SCRAP - RETURN LEAF_JTS 2                5614                     4         BIAYA                                                  
1708      5614.20                  BIAYA VARIANS FLATBAR WIP_JTS 2                        5614                     4         BIAYA                                                  
1709      5614.21                  BIAYA VARIANS BILLET HOT OUT_JTS 2                     5614                     4         BIAYA                                                  
1710      5614.22                  BIAYA VARIANS FLATBAR FG_JTS 2                         5614                     4         BIAYA                                                  
1711      5614.23                  BIAYA VARIANS ROUNDBAR WIP_JTS 2                       5614                     4         BIAYA                                                  
1712      5614.24                  BIAYA VARIANS ROUNDBAR FG_JTS 2                        5614                     4         BIAYA                                                  
1713      5614.25                  BIAYA VARIANS SCRAP - TESS PASS FLATBAR_JTS2           5614                     4         BIAYA                                                  
1714      5614.26                  BIAYA VARIANS SCRAP - TESS PASS ROUNDBAR_JTS2          5614                     4         BIAYA                                                  
1715      5614.27                  BIAYA VARIANS SCRAP ROLLING_JTS2                       5614                     4         BIAYA                                                  
1716      5615                     VARIANCE MATERIAL                                      56                       3         BIAYA                                                  
1717      5615.01                  VARIANCE MATERIAL PLANT 1                              5615                     4         BIAYA                                                  
1718      5615.01.01               VARIANCE MATERIAL STEELMAKING                          5615.01                  5         BIAYA                                                  
1719      5615.01.02               VARIANCE MATERIAL BILLET INSPECTION                    5615.01                  5         BIAYA                                                  
1720      5615.02                  VARIANCE MATERIAL PLANT 2                              5615                     4         BIAYA                                                  
1721      5615.02.01               VARIANCE MATERIAL ROLLING MILL                         5615.02                  5         BIAYA                                                  
1722      5615.02.02               VARIANCE MATERIAL FB INSPECTION                        5615.02                  5         BIAYA                                                  
1723      5615.02.03               VARIANCE MATERIAL RB INSPECTION                        5615.02                  5         BIAYA                                                  
1725      61                       BIAYA OPERASIONAL                                      6                        2         PENDAPATAN DI LUAR USAHA                               
1726      611                      BIAYA OPERASIONAL                                      61                       3         PENDAPATAN DI LUAR USAHA                               
1727      6111                     UMUM DAN ADMINISTRASI                                  611                      4         PENDAPATAN DI LUAR USAHA                               
1728      611101                   BIAYA GAJI & LEMBUR KARY                               6111                     5         PENDAPATAN DI LUAR USAHA                               
1729      611102                   TUNJANGAN HARI RAYA                                    6111                     5         PENDAPATAN DI LUAR USAHA                               
1730      611103                   BIAYA PESANGON/JASA                                    6111                     5         PENDAPATAN DI LUAR USAHA                               
1731      611104                   BIAYA JAMSOSTEK                                        6111                     5         PENDAPATAN DI LUAR USAHA                               
1732      611105                   BIAYA F.COPY  KORAN  BUKU & SUPPLIES KANTOR            6111                     5         PENDAPATAN DI LUAR USAHA                               
1733      611106                   BIAYA KEPERLUAN DAPUR                                  6111                     5         PENDAPATAN DI LUAR USAHA                               
1734      611107                   BIAYA PERJALANAN DINAS                                 6111                     5         PENDAPATAN DI LUAR USAHA                               
1735      611108                   BIAYA TRANSPORTASI / ANGKUTAN                          6111                     5         PENDAPATAN DI LUAR USAHA                               
1736      611109                   PERAWATAN GEDUNG                                       6111                     5         PENDAPATAN DI LUAR USAHA                               
1737      611110                   PERAWATAN INVENTARIS KTR                               6111                     5         PENDAPATAN DI LUAR USAHA                               
1738      611111                   BIAYA PAKAIAN KERJA                                    6111                     5         PENDAPATAN DI LUAR USAHA                               
1739      611112                   BIAYA TRAINING                                         6111                     5         PENDAPATAN DI LUAR USAHA                               
1740      611113                   BIAYA PH PIUTANG                                       6111                     5         PENDAPATAN DI LUAR USAHA                               
1741      611114                   BIAYA BANK                                             6111                     5         PENDAPATAN DI LUAR USAHA                               
1742      611115                   BIAYA PBB                                              6111                     5         PENDAPATAN DI LUAR USAHA                               
1743      611116                   BIAYA PAJAK2 PERUSAHAAN                                6111                     5         PENDAPATAN DI LUAR USAHA                               
1744      611117                   PENYUSUTAN GEDUNG                                      6111                     5         PENDAPATAN DI LUAR USAHA                               
1745      611118                   PENYUSUTAN INVENTARIS KANTOR                           6111                     5         PENDAPATAN DI LUAR USAHA                               
1746      611119                   PENYUSUTAN KENDARAAN                                   6111                     5         PENDAPATAN DI LUAR USAHA                               
1747      611120                   IURAN & RETRIBUSI                                      6111                     5         PENDAPATAN DI LUAR USAHA                               
1748      611121                   PERIJINAN                                              6111                     5         PENDAPATAN DI LUAR USAHA                               
1749      611122                   JASA KONSULTAN                                         6111                     5         PENDAPATAN DI LUAR USAHA                               
1750      611123                   BIAYA LINGKUNGAN HIDUP                                 6111                     5         PENDAPATAN DI LUAR USAHA                               
1751      611124                   SUMBANGAN & ENTERTAIN                                  6111                     5         PENDAPATAN DI LUAR USAHA                               
1752      611125                   BIAYA ASURANSI                                         6111                     5         PENDAPATAN DI LUAR USAHA                               
1753      611126                   BIAYA LAIN-LAIN                                        6111                     5         PENDAPATAN DI LUAR USAHA                               
1754      611127                   BIAYA PERJAMUAN                                        6111                     5         PENDAPATAN DI LUAR USAHA                               
1755      611128                   BIAYA AMORTISASI SHGB                                  6111                     5         PENDAPATAN DI LUAR USAHA                               
1756      611129                   BIAYA JASA OUTSOURCING                                 6111                     5         PENDAPATAN DI LUAR USAHA                               
1757      611130                   THR                                                    6111                     5         PENDAPATAN DI LUAR USAHA                               
1758      611131                   BIAYA NOTARIS                                          6111                     5         PENDAPATAN DI LUAR USAHA                               
1759      611132                   IMBALAN KERJA                                          6111                     5         PENDAPATAN DI LUAR USAHA                               
1760      611133                   BIAYA IPO                                              6111                     5         PENDAPATAN DI LUAR USAHA                               
1761      611134                   BIAYA MAKAN                                            6111                     5         PENDAPATAN DI LUAR USAHA                               
1762      611135                   BIAYA CAD.PENYISIHAN PIUTANG TAK TERTAGIH              6111                     5         PENDAPATAN DI LUAR USAHA                               
1763      611136                   BIAYA MANAGEMENT FEE OUTSOURCHING                      6111                     5         PENDAPATAN DI LUAR USAHA                               
1764      611137                   BIAYA SEWA UMUM                                        6111                     5         PENDAPATAN DI LUAR USAHA                               
1765      611138                   BIAYA RUPS                                             6111                     5         PENDAPATAN DI LUAR USAHA                               
1766      611139                   BIAYA IMBALAN PASCA KERJA                              6111                     5         PENDAPATAN DI LUAR USAHA                               
1767      611140                   BIAYA MANAGEMENT FEE                                   6111                     5         PENDAPATAN DI LUAR USAHA                               
1768      611141                   BIAYA LEMBUR KARYAWAN  GA                              6111                     5         PENDAPATAN DI LUAR USAHA                               
1769      611142                   BIAYA MAINTENANCE KENDARAAN                            6111                     5         PENDAPATAN DI LUAR USAHA                               
1770      611143                   BIAYA AMORTISASI LEASING                               6111                     5         PENDAPATAN DI LUAR USAHA                               
1771      611144                   BIAYA AKOMODASI                                        6111                     5         PENDAPATAN DI LUAR USAHA                               
1772      611145                   BIAYA LISTRIK                                          6111                     5         PENDAPATAN DI LUAR USAHA                               
1773      611145.13                BIAYA LISTRIK_HRD                                      611145                   6         PENDAPATAN DI LUAR USAHA                               
1774      611145.14                BIAYA LISTRIK_GA                                       611145                   6         PENDAPATAN DI LUAR USAHA                               
1775      611145.15                BIAYA LISTRIK_FINANCE  ACCOUNTING & TAX                611145                   6         PENDAPATAN DI LUAR USAHA                               
1776      611145.16                BIAYA LISTRIK_IT                                       611145                   6         PENDAPATAN DI LUAR USAHA                               
1777      611145.17                BIAYA LISTRIK_PEMBELIAN                                611145                   6         PENDAPATAN DI LUAR USAHA                               
1778      611145.18                BIAYA LISTRIK_MARKETING                                611145                   6         PENDAPATAN DI LUAR USAHA                               
1779      611146                   BIAYA MAKAN                                            6111                     5         PENDAPATAN DI LUAR USAHA                               
1780      611146.14                BIAYA MAKAN_GA                                         611146                   6         PENDAPATAN DI LUAR USAHA                               
1781      611146.42                BIAYA MAKAN_OTHERS JTS 2                               611146                   6         PENDAPATAN DI LUAR USAHA                               
1782      611147                   BIAYA OUTSOURCHING                                     6111                     5         PENDAPATAN DI LUAR USAHA                               
1783      611147.13                BIAYA OUTSOURCHING_HRD                                 611147                   6         PENDAPATAN DI LUAR USAHA                               
1784      611147.14                BIAYA OUTSOURCHING_GA                                  611147                   6         PENDAPATAN DI LUAR USAHA                               
1785      611147.15                BIAYA OUTSOURCHING_FINANCE  ACCOUNTING & TAX           611147                   6         PENDAPATAN DI LUAR USAHA                               
1786      611147.16                BIAYA OUTSOURCHING_IT                                  611147                   6         PENDAPATAN DI LUAR USAHA                               
1787      611147.17                BIAYA OUTSOURCHING_PEMBELIAN                           611147                   6         PENDAPATAN DI LUAR USAHA                               
1788      611147.18                BIAYA OUTSOURCHING_MARKETING                           611147                   6         PENDAPATAN DI LUAR USAHA                               
1789      611148                   PENGOBATAN & KECELAKAAN KERJA                          6111                     5         PENDAPATAN DI LUAR USAHA                               
1790      611148.14                PENGOBATAN & KECELAKAAN KERJA_GA                       611148                   6         PENDAPATAN DI LUAR USAHA                               
1791      611149                   BIAYA ASURANSI                                         6111                     5         PENDAPATAN DI LUAR USAHA                               
1792      611149.14                BIAYA ASURANSI_GA                                      611149                   6         PENDAPATAN DI LUAR USAHA                               
1793      611149.15                BIAYA ASURANSI_FINANCE  ACCOUNTING & TAX               611149                   6         PENDAPATAN DI LUAR USAHA                               
1794      611149.17                BIAYA ASURANSI_PEMBELIAN                               611149                   6         PENDAPATAN DI LUAR USAHA                               
1795      611149.42                BIAYA ASURANSI_OTHERS JTS 2                            611149                   6         PENDAPATAN DI LUAR USAHA                               
1796      611150                   PENYUSUTAN                                             6111                     5         PENDAPATAN DI LUAR USAHA                               
1797      611150.13                PENYUSUTAN_HRD                                         611150                   6         PENDAPATAN DI LUAR USAHA                               
1798      611150.14                PENYUSUTAN_GA                                          611150                   6         PENDAPATAN DI LUAR USAHA                               
1799      611150.15                PENYUSUTAN_FINANCE  ACCOUNTING & TAX                   611150                   6         PENDAPATAN DI LUAR USAHA                               
1800      611150.16                PENYUSUTAN_IT                                          611150                   6         PENDAPATAN DI LUAR USAHA                               
1801      611150.17                PENYUSUTAN_PEMBELIAN                                   611150                   6         PENDAPATAN DI LUAR USAHA                               
1802      611150.18                PENYUSUTAN_MARKETING                                   611150                   6         PENDAPATAN DI LUAR USAHA                               
1803      611150.42                PENYUSUTAN_OTHERS JTS 2                                611150                   6         PENDAPATAN DI LUAR USAHA                               
1804      611151                   BIAYA MAINTENANCE KENDARAAN UMUM                       6111                     5         PENDAPATAN DI LUAR USAHA                               
1805      611151.14                BIAYA MAINTENANCE KENDARAAN UMUM_GA                    611151                   6         PENDAPATAN DI LUAR USAHA                               
1806      611151.42                BIAYA MAINTENANCE KENDARAAN UMUM_OTHERS JTS 2          611151                   6         PENDAPATAN DI LUAR USAHA                               
1807      611152                   BIAYA GAJI                                             6111                     5         PENDAPATAN DI LUAR USAHA                               
1808      611152.01.15             GAJI - GENERAL ADMIN                                   611152                   6         PENDAPATAN DI LUAR USAHA                               
1809      611152.01.42             GAJI - GENERAL ADMIN P2                                611152                   6         PENDAPATAN DI LUAR USAHA                               
1810      611152.02.15             GAJI OUTSOURCING - GENERAL ADMIN                       611152                   6         PENDAPATAN DI LUAR USAHA                               
1811      611152.02.42             GAJI OUTSOURCING - GENERAL ADMIN P2                    611152                   6         PENDAPATAN DI LUAR USAHA                               
1812      611152.10                BIAYA GAJI_MANAJEMEN STRATEGIS                         611152                   6         PENDAPATAN DI LUAR USAHA                               
1813      611152.11                BIAYA GAJI_QUALITY ASSURANCE                           611152                   6         PENDAPATAN DI LUAR USAHA                               
1814      611152.12                BIAYA GAJI_K3                                          611152                   6         PENDAPATAN DI LUAR USAHA                               
1815      611152.13                BIAYA GAJI_HRD                                         611152                   6         PENDAPATAN DI LUAR USAHA                               
1816      611152.14                BIAYA GAJI_GA                                          611152                   6         PENDAPATAN DI LUAR USAHA                               
1817      611152.15                BIAYA GAJI_FINANCE  ACCOUNTING & TAX                   611152                   6         PENDAPATAN DI LUAR USAHA                               
1818      611152.16                BIAYA GAJI_IT                                          611152                   6         PENDAPATAN DI LUAR USAHA                               
1819      611152.17                BIAYA GAJI_PEMBELIAN                                   611152                   6         PENDAPATAN DI LUAR USAHA                               
1820      611152.18                BIAYA GAJI_MARKETING                                   611152                   6         PENDAPATAN DI LUAR USAHA                               
1821      611152.19                BIAYA GAJI_PPIC                                        611152                   6         PENDAPATAN DI LUAR USAHA                               
1822      611152.20                BIAYA GAJI_LOGISTIK                                    611152                   6         PENDAPATAN DI LUAR USAHA                               
1823      611152.21                BIAYA GAJI_QUALITY CONTROL                             611152                   6         PENDAPATAN DI LUAR USAHA                               
1824      611152.22                BIAYA GAJI_ENGINEERING                                 611152                   6         PENDAPATAN DI LUAR USAHA                               
1825      611152.23                BIAYA GAJI_MAINTENANCE MEKANIK                         611152                   6         PENDAPATAN DI LUAR USAHA                               
1826      611152.24                BIAYA GAJI_BUILDING                                    611152                   6         PENDAPATAN DI LUAR USAHA                               
1827      611152.25                BIAYA GAJI_UTILITY                                     611152                   6         PENDAPATAN DI LUAR USAHA                               
1828      611152.26                BIAYA GAJI_WORKSHOP                                    611152                   6         PENDAPATAN DI LUAR USAHA                               
1829      611152.27                BIAYA GAJI_MAINTENANCE LISTRIK                         611152                   6         PENDAPATAN DI LUAR USAHA                               
1830      611152.28                BIAYA GAJI_EAF                                         611152                   6         PENDAPATAN DI LUAR USAHA                               
1831      611152.29                BIAYA GAJI_LF                                          611152                   6         PENDAPATAN DI LUAR USAHA                               
1832      611152.30                BIAYA GAJI_VD                                          611152                   6         PENDAPATAN DI LUAR USAHA                               
1833      611152.31                BIAYA GAJI_CCM                                         611152                   6         PENDAPATAN DI LUAR USAHA                               
1834      611152.32                BIAYA GAJI_LAB CHEMICAL                                611152                   6         PENDAPATAN DI LUAR USAHA                               
1835      611152.33                BIAYA GAJI_BILLET INSPECTION                           611152                   6         PENDAPATAN DI LUAR USAHA                               
1836      611152.34                BIAYA GAJI_FESI                                        611152                   6         PENDAPATAN DI LUAR USAHA                               
1837      611152.35                BIAYA GAJI_FOUNDRY                                     611152                   6         PENDAPATAN DI LUAR USAHA                               
1838      611152.36                BIAYA GAJI_OTHERS                                      611152                   6         PENDAPATAN DI LUAR USAHA                               
1839      611152.42                BIAYA GAJI_OTHERS JTS 2                                611152                   6         PENDAPATAN DI LUAR USAHA                               
1840      611153                   BIAYA LEMBUR                                           6111                     5         PENDAPATAN DI LUAR USAHA                               
1841      611153.01.15             LEMBUR - GENERAL ADMIN                                 611153                   6         PENDAPATAN DI LUAR USAHA                               
1842      611153.01.42             LEMBUR - GENERAL ADMIN P2                              611153                   6         PENDAPATAN DI LUAR USAHA                               
1843      611153.02.15             LEMBUR OUTSOURCING - GENERAL ADMIN                     611153                   6         PENDAPATAN DI LUAR USAHA                               
1844      611153.02.42             LEMBUR OUTSOURCING - GENERAL ADMIN P2                  611153                   6         PENDAPATAN DI LUAR USAHA                               
1845      611153.10                BIAYA LEMBUR_MANAJEMEN STRATEGIS                       611153                   6         PENDAPATAN DI LUAR USAHA                               
1846      611153.11                BIAYA LEMBUR_QUALITY ASSURANCE                         611153                   6         PENDAPATAN DI LUAR USAHA                               
